Fecha,Hora Local,Lat,Long,Magnitud,Profundidad,Intensidad ,Region,Ambiente,Intensidad Máxima (EMS-98),Magnitud Numérica
1644/01/16,5:00,7.37,-72.64,6.5,15,9,"Pamplona, Norte de Santander",Cortical,IX,6.5
1646/04/03,2:00,5.52,-74.13,6,15,8,"Muzo, Boyacá",Cortical,VIII,6
1736/02/02,9:00,2.5,-76.5,6,15,8,"Popayán, Cauca",Cortical,VIII,6
1743/10/18,9:30,4.44,-73.83,6.2,15,8,"Fúquene, Cundinamarca",Cortical,VIII,6.2
1766/07/09,16:00,3.82,-76.4,6.5,15,8,"Buga, Valle del Cauca",Cortical,VIII,6.5
1805/06/16,3:15,5.37,-74.87,6.1,15,9,"Honda, Tolima",Cortical,IX,6.1
1826/06/17,22:30,5.01,-73.59,6.5,15,8,"Úmbita, Boyacá",Cortical,VIII,6.5
1827/11/16,18:00,1.8,-75.52,7.1,15,10,"Altamira, Huila",Cortical,X,7.1
1834/01/20,7:00,1.1,-76.93,6.7,15,9,"Santiago, Putumayo",Cortical,IX,6.7
1834/05/22,3:00,11.49,-74.07,6.4,10,8,"Santa Marta, Magdalena",Cortical,VIII,6.4
1875/05/18,11:15,7.86,-72.42,6.8,15,10,"Cúcuta, Norte de Santander",Cortical,X,6.8
1882/09/07,3:20,10,-79,6.5,15,9,"Colón, Colón-Panamá",Cortical,IX,6.5
1885/05/25,15:05,2.88,-76.54,6.4,15,8,"El Tambo, Cauca",Cortical,VIII,6.4
1917/08/31,6:36,3.78,-74,6.7,15,9,"Villavicencio, Meta",Cortical,IX,6.7
1923/12/14,5:31,0.87,-77.78,6.2,10,9,"Cumbal, Nariño",Cortical,IX,6.2
1923/12/22,4:56,4.64,-73.36,5.9,15,8,"Medina, Cundinamarca",Cortical,VIII,5.9
1926/12/18,20:50,0.87,-77.78,6[ML],10,8,"Cumbal, Nariño",Cortical,VIII,6
1928/11/01,11:08,5.16,-73.23,5.9,15,8,"Chinavita, Boyacá",Cortical,VIII,5.9
1933/02/10,17:00,1.37,-77.58,5.7,10,8,"Linares, Nariño",Cortical,VIII,5.7
1935/08/07,4:00,1.11,-77.34,6.1,10,8,"Tangua, Nariño",Cortical,VIII,6.1
1935/09/17,23:58,5.09,-76.08,6.1,15,8,"Pueblo Rico, Risaralda",Cortical,VIII,6.1
1935/10/26,20:15,1.07,-77.51,5.9,10,8,"Imués, Nariño",Cortical,VIII,5.9
1936/07/17,12:30,1.17,-77.7,6.3,10,8,"Túquerres, Nariño",Cortical,VIII,6.3
1942/12/26,7:30,9.19,-75.84,6.2,15,8,"Santa Cruz de Lorica, Córdoba",Cortical,VIII,6.2
1947/07/14,2:00,1.3,-77.23,6,10,8,"San Juan de Pasto, Nariño",Cortical,VIII,6
1950/07/08,21:35,7.79,-72.61,6.1,15,9,"Arboledas, Norte de Santander",Cortical,IX,6.1
1953/12/22,23:45,1.09,-77.59,5.8,10,8,"Guaitarilla, Nariño",Cortical,VIII,5.8
1962/07/30,15:18,5.17,-76.35,6.5,64,8,"Eje Cafetero, Colombia",Cortical,VIII,6.5
